346F3,348F3,bcutv8,GATSp5,GATSp7,GATSp6,GATSp8,Tac,bcutm8,ATSp8,SIC3,Shet,S9,MATSe6,GATSe7,bcutp10,MATSv7,MATSv6,GATSe8,GATSe6,Rpc,MATSm7,Smax11,DS,Smin16,S17,GATSm6,QHss,VSAEstate8,GATSm7,IC3,Smin8,label
-4.76,2.131,1.473,1.424,1.398,2.475,1.875,2.898,1.756,0.647,0.951,26.494,0.388,-0.396,2.748,1.739,-0.734,-0.803,3.89,1.999,0.221,-0.079,2.024,11.593,1.019,1.019,0.99,0.143,36.714,0.209,4.47,0.388,0
-4.76,2.131,1.291,0.694,4.299,1.743,0,2.708,1.724,0,0.942,26.625,0.381,-0.614,3.315,1.659,-2.189,-0.385,0,1.905,0.237,-0.29,1.955,11.421,0.96,2.05,1.621,0.138,31.682,3.069,4.263,0.381,2
-4.76,2.131,1.29,0.979,4.706,1.885,0,2.717,1.724,0,0.942,27.712,0.356,-0.636,2.031,1.663,-2.17,-0.504,0,1.866,0.236,-0.174,1.885,11.424,0.921,1.854,1.619,0.138,31.35,2.943,4.263,0.356,2
-4.76,2.131,1.97,1.236,2.076,1.439,3.358,3.33,1.932,1.036,0.941,28.1,0.346,-0.06,2.182,1.794,-0.694,0.012,3.898,1.625,0.192,-0.678,2.037,11.664,0.952,2.103,1.612,0.171,40.667,2.177,4.615,0.346,2
-4.76,2.131,1.291,1.469,1.581,1.437,0.103,3.623,1.724,0.625,0.912,61.139,-0.126,-0.526,1.743,1.687,-0.494,-0.601,0.216,1.331,0.23,-0.578,1.415,16.744,-0.803,-0.549,1.214,0.138,21.134,1.744,4.287,-0.126,2
-4.76,2.131,1.291,1.548,3.13,1.935,0,2.846,1.724,0,0.912,24.45,0.386,-0.608,3.404,1.685,-1.126,-0.641,0,1.906,0.225,-1.141,1.968,11.421,0.968,2.088,1.908,0.14,34.833,3.39,4.287,0.386,2
-4.76,2.131,1.291,1.287,1.071,1.608,2.599,3.486,1.724,0.647,0.932,29.524,0.312,-0.454,1.024,1.683,0.654,-0.412,2.743,1.676,0.184,0.736,1.825,11.495,0.708,1.569,1.672,0.152,38.333,1.027,4.431,0.312,0
-4.76,2.131,1.291,1.56,1.272,1.61,0,3.439,1.724,0.602,0.948,44.661,0.08,-0.69,1.562,1.698,-0.124,-0.693,0,1.605,0.186,-0.292,1.607,11.587,-0.065,0.476,1.606,0.14,48.833,1.542,4.404,0.08,1
-4.76,2.131,1.285,1.433,1.449,2.801,0,2.721,1.722,0,0.923,27.791,0.344,-0.243,3.307,1.667,-0.575,-1.257,0,1.941,0.235,0.037,1.875,11.451,0.895,1.809,1.478,0.138,31.363,0.023,4.176,0.344,0
-4.76,2.131,1.289,1.542,3.13,2.532,0,2.845,1.72,0,0.84,24.517,0.391,-0.875,3.404,1.677,-1.126,-0.883,0,2.655,0.225,-1.141,1.948,11.445,0.998,2.08,2.649,0.14,34.833,3.39,3.95,0.391,1
-4.76,2.131,1.289,1.428,0.487,1.419,0,3.628,1.723,0,0.857,61.718,-0.342,-0.503,0.518,1.678,1.161,-0.462,0,1.473,0.229,0.888,1.416,17.003,-0.841,-0.948,1.402,0.138,20.548,0.657,4.027,-0.342,0
-4.76,2.131,1.287,1.548,1.935,2,3.13,2.846,1.719,0.647,0.814,24.405,0.385,-0.635,1.906,1.689,-0.641,-0.647,3.404,2.062,0.225,-0.612,1.948,11.403,0.959,2.119,2.059,0.14,34.833,1.908,3.825,0.385,0
-4.76,2.131,1.337,0.675,2.98,1.616,0,3.516,1.729,0.346,0.945,35.65,0.269,-0.618,2.361,1.667,-1.223,-0.359,0,1.671,0.182,-0.178,1.721,11.5,0.193,1.693,1.558,0.22,37.952,2.213,4.335,0.269,0
-4.76,2.131,1.27,1.363,2.143,2.424,5.125,2.736,1.762,0.754,0.942,35.976,0.2,-0.147,1.912,1.66,-0.648,-0.759,0.099,1.528,0.234,-0.457,1.674,11.533,0.439,1.641,1.098,0.134,29.193,1.872,4.263,0.2,0
-4.76,2.131,1.223,1.539,5.313,1.601,0,2.61,1.666,0,0.954,29.042,0.394,-0.95,0.743,1.462,-3.398,-0.568,0,2.32,0.246,-0.704,1.884,11.337,0.983,1.979,1.945,0.13,27.625,5.287,4.122,0.394,1
-4.76,2.131,1.184,0.605,0.726,0.339,0.61,3.619,1.67,0.843,0.902,37.913,0.7,0.145,1.562,1.66,-0.382,0.236,1.338,0.786,0.177,0.012,0,11.373,0,0,0.073,0.161,36.72,0.146,4.137,0.301,0
-4.76,2.131,1.298,1.003,1.428,0.85,1.937,3.487,1.726,1.491,0.869,29.204,0.423,-0.12,1.365,1.748,-0.48,-0.151,1.938,0.755,0.185,-0.451,1.909,11.38,1.005,1.005,0.761,0.154,38.167,1.369,4.134,0.032,0
-4.76,2.131,2.241,1.269,0.726,1.502,0.788,4.911,2.453,2.453,0.925,49.435,2.162,-0.122,0.877,1.835,0.126,-0.394,1.045,1.076,0.166,-0.069,1.814,12.45,0.549,1.287,0.988,0.184,51.674,0.769,4.922,0.107,0
-4.76,2.131,1.621,1.005,1.497,0.966,3.31,3.207,2.13,1.553,0.969,31.405,0.33,-0.203,2.435,1.791,-0.322,0.153,2.148,1.66,0.2,-0.137,1.95,11.653,0.928,1.91,0.689,0.169,37.057,1.179,4.607,0.33,0
-4.76,2.131,1.248,1.011,1.449,3.103,0,2.702,1.695,0,0.923,27.94,-0.053,-0.217,3.307,1.635,-0.575,-1.391,0,2.105,0.226,0.037,1.862,11.285,0.824,1.675,1.688,0.138,31.419,0.023,4.176,-0.053,0
-4.76,2.131,1.18,1.506,0,1.412,0,3.7,1.381,0,0.878,41.627,0.491,-0.663,0,1.588,1.51,-0.553,0,1.566,0.173,1.594,0,11.19,0,0,1.556,0.214,39.167,0,3.914,-0.027,0
-4.76,2.131,1.284,0.694,3.26,0.966,8.232,2.707,1.722,1.325,0.885,26.597,0.381,-0.651,1.892,1.656,-0.626,-0.091,3.202,2.076,0.237,-0.46,1.935,11.404,0.954,2.084,0.945,0.138,31.628,3.237,4.002,0.381,0
-4.76,2.131,2.039,1.3,2.717,1.45,3.358,3.334,2.033,0.647,0.941,28.158,0.347,-0.092,3.04,1.793,-0.958,-0.039,3.898,1.571,0.192,-0.968,2.006,11.681,0.961,2.092,1.562,0.171,40.667,3.022,4.615,0.347,0
-4.76,2.131,2.023,0.965,0.552,0.933,1.043,4.304,2.096,2.186,0.919,43.096,3.257,-0.145,0.593,1.756,0.326,-0.115,1.108,0.944,0.149,0.273,0,12.696,0,0,0.944,0.171,48.333,0.588,4.856,0.434,0
-4.76,2.131,1.936,1.12,0.96,1.445,0.997,4.324,1.969,1.373,0.847,34.906,0.26,-0.431,0.979,1.695,0.409,-0.4,0.939,1.487,0.148,0.406,1.768,11.619,0.567,1.972,1.485,0.162,43.5,0.977,4.196,0.26,0
-4.76,2.131,2.163,0.725,1.449,0.334,1.739,3.414,2.098,2.088,0.844,27.044,4.232,0.473,1.526,1.832,-0.371,0.543,1.831,0.341,0.187,-0.366,2.151,11.474,1.384,2.769,0.338,0.151,40.833,1.522,4.329,0.544,0
-4.76,2.131,2.414,1.1,1.089,0.958,0.511,4.549,2.331,2.338,0.827,44.575,0.144,-0.08,1.193,1.844,-0.074,-0.05,0.501,0.998,0.184,-0.121,1.833,13.375,0.705,0.705,0.995,0.151,56.523,1.187,4.457,0.144,0
-4.76,2.131,1.244,1.407,3.13,2,0,2.863,1.722,0,0.84,25.07,0.35,-0.635,3.404,1.727,-1.126,-0.647,0,2.062,0.226,-1.141,1.887,11.88,0.94,0.94,2.059,0.14,35.083,3.39,3.95,0.35,0
-4.76,2.131,1.92,1.311,2.039,1.668,2.766,3.056,1.932,1.491,0.872,24.867,0.361,-0.399,2.015,1.748,-0.562,-0.419,2.861,1.649,0.21,-0.537,2.024,11.607,0.952,0.952,1.65,0.15,40.5,2.017,4.237,0.361,0
-4.76,2.131,2.591,1.287,1.196,1.481,1.089,5.426,2.735,2.865,0.848,44.932,2.4,-0.348,1.174,1.889,-0.074,-0.345,1.162,1.46,0.15,-0.096,2.093,12.977,1.175,4.733,1.462,0.2,66.167,1.175,4.81,0.281,0
-4.76,2.131,2.088,1.185,1.756,1.251,1.169,3.979,2.14,1.373,0.943,33.261,0.294,-0.183,1.919,1.793,-0.434,-0.143,1.172,1.306,0.161,-0.478,1.893,11.723,0.738,1.621,1.302,0.183,44.167,1.91,4.672,0.294,0
-4.76,2.131,1.432,1.306,1.175,1.358,1.527,4.519,1.726,1.654,0.895,70.846,0.607,-0.489,1.229,1.701,-0.313,-0.512,1.512,1.322,0.208,-0.394,0,16.56,0,0,1.271,0.156,27.369,1.242,4.349,-0.148,0
-4.76,2.131,1.264,1.285,0.437,1.295,2.618,3.017,1.388,0.647,0.885,26.881,3.342,-0.438,0.569,1.665,0.686,-0.384,2.991,1.339,0.212,0.562,0,11.13,0,0,1.338,0.147,30.5,0.556,4.208,0.566,0
-4.76,2.131,1.287,1.284,0.366,2.263,0,2.711,1.722,0,0.923,26.677,0.383,-0.839,3.427,1.666,-0.229,-1.166,0,2.617,0.236,0.058,1.935,11.446,0.984,2.037,1.537,0.138,31.732,0.008,4.176,0.383,0
-4.76,2.131,1.756,1.247,0.999,1.097,0.89,4.255,1.852,1.114,0.907,65.299,-0.274,-0.075,0.995,1.705,0.113,-0.065,1.192,1.177,0.151,0.179,1.138,12.046,-0.513,-0.907,1.172,0.137,64.5,0.997,4.31,-0.274,0
-4.76,2.131,1.298,0.913,1.825,1.087,2.476,3.039,1.723,1.491,0.842,24.233,0.351,-0.212,1.8,1.757,-0.547,-0.24,2.556,0.996,0.211,-0.523,1.947,11.352,1.046,1.046,1.002,0.149,37.167,1.802,4.004,0.351,0
